from_type,from_id,to_type,to_id,flow
restaurant,85,center,12,62101.5432332625
restaurant,86,center,76,30615.6454270934
restaurant,87,center,87,27009.9276640468
restaurant,88,center,162,37968.300701746
restaurant,89,center,90,23644.9980901765
restaurant,90,center,93,58516.925049204
restaurant,91,center,76,33144.9905624852
restaurant,92,center,90,45730.80552375596
restaurant,92,center,119,40425.266194278534
restaurant,93,center,154,89938.7457717847
restaurant,94,center,2,29434.8707316856
restaurant,95,center,10,8697.95449713912
restaurant,96,center,162,50953.0068201237
restaurant,97,center,56,86087.859348022
restaurant,98,center,200,67716.2852799249
restaurant,99,center,2,39174.9290281564
restaurant,100,center,2,52473.9115206959
restaurant,101,center,60,81252.6351384985
restaurant,102,center,13,32933.5919771015
restaurant,103,center,60,60786.3088800518
restaurant,104,center,15,81571.6009105435
restaurant,105,center,14,57010.786359619
restaurant,106,center,9,67821.5833928701
restaurant,107,center,55,75266.3129441673
restaurant,108,center,154,45718.5255971563
restaurant,109,center,49,88666.1403220816
restaurant,110,center,118,49504.6200560261
restaurant,111,center,70,34082.6083254827
restaurant,112,center,118,38342.0554639653
restaurant,113,center,58,71454.5410584973
restaurant,114,center,88,64864.9387602854
restaurant,115,center,62,77890.4019478549
restaurant,116,center,82,53489.082700063
restaurant,117,center,126,28815.4842847032
restaurant,118,center,74,60137.9381821185
restaurant,119,center,18,75655.5033281187
restaurant,120,center,88,44863.6314481698
restaurant,121,center,76,19529.8127855684
restaurant,122,center,10,31072.2708611653
restaurant,123,center,94,27850.8694240294
restaurant,124,center,119,87055.7310507061
restaurant,125,center,76,67160.4544710542
restaurant,126,center,10,83161.330615183
restaurant,127,center,92,95129.2914132674
restaurant,128,center,13,38979.157397613
restaurant,129,center,135,61402.8685979435
restaurant,130,center,150,29252.5704881996
restaurant,131,center,70,63029.62234618
restaurant,132,center,9,15249.987623160472
restaurant,132,center,136,30658.514860620926
restaurant,133,center,132,60995.5500044429
restaurant,134,center,80,56191.5122018204
restaurant,135,center,4,56133.10411412
restaurant,136,center,87,32264.7777467275
restaurant,137,center,22,29041.9977814686
restaurant,138,center,14,55109.7956654199
restaurant,139,center,76,4270.37409107089
restaurant,140,center,36,25155.9664084692
restaurant,141,center,8,50525.3649573342
restaurant,142,center,161,18799.8717594823
restaurant,143,center,200,60495.987444705
restaurant,144,center,115,29760.192110538
restaurant,145,center,74,59526.9144475662
restaurant,146,center,13,27184.6694578162
restaurant,147,center,21,66199.9153393147
restaurant,148,center,76,48944.4833682886
restaurant,149,center,159,44876.4716400063
restaurant,150,center,21,65122.7131767159
restaurant,151,center,31,40237.6766873939
restaurant,152,center,126,69175.1913095544
restaurant,153,center,88,2475.12980350108
restaurant,154,center,21,69698.5369384557
restaurant,155,center,80,74619.705076976
restaurant,156,center,70,17860.050491437
restaurant,157,center,159,74456.3110791079
restaurant,158,center,80,34286.9411955429
restaurant,159,center,10,56203.5082375392
restaurant,160,center,22,50928.2103354721
restaurant,161,center,53,62178.1657410326
restaurant,162,center,22,58578.3801904948
restaurant,163,center,64,65874.937689836
restaurant,164,center,76,26535.4212202437
restaurant,165,center,2,91673.112614581
restaurant,166,center,76,21847.2698853674
restaurant,167,center,70,39505.0764607818
restaurant,168,center,31,17610.739945728
restaurant,169,center,76,65645.4465589695
restaurant,170,center,154,72932.9514540148
restaurant,171,center,102,21394.7239164192
restaurant,172,center,76,62620.8321649756
restaurant,173,center,70,53672.8383782091
restaurant,174,center,70,44322.4917703901
restaurant,175,center,76,62381.7892841396
restaurant,176,center,21,43319.1748255657
restaurant,177,center,101,35696.3196963371
restaurant,178,center,201,42369.1291551015
restaurant,179,center,70,34641.4634919459
restaurant,180,center,21,28590.1256069158
restaurant,181,center,21,21062.5481745622
restaurant,182,center,21,91330.2823248815
restaurant,183,center,92,70256.9641285529
restaurant,184,center,189,55554.6685491312
restaurant,185,center,70,58229.102797766
restaurant,186,center,36,84054.0167055395
restaurant,187,center,200,50568.1939314711
restaurant,188,center,165,68058.9257807364
restaurant,189,center,110,41380.93468748
restaurant,190,center,76,18203.0380541676
restaurant,191,center,92,36616.9666626497
restaurant,192,center,76,24492.5192483934
restaurant,193,center,29,65735.9742848993
restaurant,194,center,76,65764.5517440565
restaurant,195,center,37,68846.7163059386
restaurant,196,center,31,29729.4817319273
restaurant,197,center,38,47950.8865714977
restaurant,198,center,118,61458.577166748
restaurant,199,center,10,27430.95008808002
restaurant,199,center,99,18772.99632355968
restaurant,200,center,21,57233.1991786746
restaurant,201,center,35,68679.3932902639
restaurant,202,center,31,50598.5889038476
restaurant,203,center,26,51797.5516297937
restaurant,204,center,76,44760.3984229143
restaurant,205,center,76,57933.7795430416
restaurant,206,center,185,46353.0617002434
restaurant,207,center,64,91726.2008349089
restaurant,208,center,21,62457.2364672367
restaurant,209,center,10,70512.9988921799
restaurant,210,center,165,50595.3563161828
restaurant,211,center,154,55373.4157736212
restaurant,212,center,76,54235.4245384475
restaurant,213,center,53,29044.0291608385
restaurant,214,center,55,66258.5276112483
restaurant,215,center,74,16831.8963376925
