from_type,from_id,to_type,to_id,flow
restaurant,67,center,184,68986.1789199528
restaurant,68,center,87,68636.2765536555
restaurant,69,center,35,44440.1748896539
restaurant,70,center,170,54104.0766706846
restaurant,71,center,147,64764.9961882698
restaurant,72,center,149,85899.5351868933
restaurant,73,center,16,87094.0616124719
restaurant,74,center,4,83376.8770510675
restaurant,75,center,4,68115.4457389218
restaurant,76,center,91,45848.4482447177
restaurant,77,center,4,67935.793386713
restaurant,78,center,87,8311.086111511278
restaurant,78,center,91,50616.15487590612
restaurant,79,center,16,108354.209658666
restaurant,80,center,35,60653.7751596036
restaurant,81,center,185,78412.8430958482
restaurant,82,center,2,79715.941480149
restaurant,83,center,147,54040.6610891018
restaurant,84,center,35,75420.3414543352
restaurant,85,center,87,61839.760207979
restaurant,86,center,35,129415.043076847
restaurant,87,center,87,108172.416476563
restaurant,88,center,16,82604.4639006719
restaurant,89,center,16,76855.4205295415
restaurant,90,center,147,63767.0526353393
restaurant,91,center,190,102956.110664861
restaurant,92,center,69,90673.2478050473
restaurant,93,center,170,22750.8626402415
restaurant,94,center,87,51825.9829054612
restaurant,95,center,190,105611.046998112
restaurant,96,center,126,107147.411737462
restaurant,97,center,87,80450.6041364548
restaurant,98,center,18,120666.696766109
restaurant,99,center,138,77886.9862476923
restaurant,100,center,75,63123.31624081085
restaurant,100,center,85,3060.861519114056
restaurant,101,center,69,53395.4151471461
restaurant,102,center,170,70041.9267377342
restaurant,103,center,147,103059.702607085
restaurant,104,center,126,92143.0884855941
restaurant,105,center,147,98911.1303368935
restaurant,106,center,130,65318.4954287052
restaurant,107,center,69,100805.441703029
restaurant,108,center,87,64671.159470713
restaurant,109,center,18,50506.599592475
restaurant,110,center,69,111064.840869981
restaurant,111,center,87,75459.1757467585
restaurant,112,center,147,91443.0918815638
restaurant,113,center,130,94719.6337281493
restaurant,114,center,97,19598.5036364076
restaurant,115,center,97,52356.6695121083
restaurant,116,center,18,16570.273458945216
restaurant,116,center,35,71515.7570863362
restaurant,116,center,91,7468.418655457906
restaurant,117,center,75,46706.0573237929
restaurant,118,center,16,75540.0187621639
restaurant,119,center,87,65520.0959525592
restaurant,120,center,61,11634.2285704436
restaurant,121,center,147,76524.897048212
restaurant,122,center,69,62228.7753803283
restaurant,123,center,149,59769.8063819391
restaurant,124,center,35,59761.5430729173
restaurant,125,center,147,76879.9162457153
restaurant,126,center,162,39081.1582458227
restaurant,127,center,126,98094.4719517963
restaurant,128,center,149,67060.0413038808
restaurant,129,center,18,69050.4824645392
restaurant,130,center,195,70357.4936262714
restaurant,131,center,87,30406.714114593
restaurant,132,center,87,46315.6838281721
restaurant,133,center,147,55058.2045892189
restaurant,134,center,138,67191.1635473398
restaurant,135,center,184,82884.1726897194
restaurant,136,center,4,90635.957410774
restaurant,137,center,91,54415.5243438782
restaurant,138,center,162,80309.9510997799
