"","NTAName","BoroName","latitude","longitude"
"107","Pelham Parkway-Van Nest","Bronx",40.8478969363134,-73.8649669980511
"108","Morris Park","Bronx",40.8517924766075,-73.8516873460979
"109","Pelham Gardens","Bronx",40.864246612611,-73.8466921282452
"110","Allerton","Bronx",40.8640144652008,-73.8642037714206
"111","Hutchinson Metro Center","Bronx",40.8494759526074,-73.8387159310177
"112","Williamsbridge-Olinville","Bronx",40.8810163001502,-73.8607245005124
"113","Eastchester-Edenwald-Baychester","Bronx",40.8815414695664,-73.8365698308339
"114","Wakefield-Woodlawn","Bronx",40.8979732117286,-73.8539663924204
"115","Woodlawn Cemetery","Bronx",40.8895371912556,-73.8725817921507
"116","Van Cortlandt Park","Bronx",40.8970450218374,-73.8866314583879
"117","Bronx Park","Bronx",40.8578319116347,-73.87549840494
"118","Pelham Bay Park","Bronx",40.8682457509724,-73.8078773813879
"119","Financial District-Battery Park City","Manhattan",40.7080799624981,-74.0102239715986
"120","Tribeca-Civic Center","Manhattan",40.7173062155851,-74.0072329649701
"121","The Battery-Governors Island-Ellis Island-Liberty Island","Manhattan",40.6912434566919,-74.0207316326719
"122","SoHo-Little Italy-Hudson Square","Manhattan",40.7235357410824,-74.0017186405533
"123","Greenwich Village","Manhattan",40.730680703297,-73.9956844541814
"124","West Village","Manhattan",40.7348094757509,-74.0058927329764
"125","Chinatown-Two Bridges","Manhattan",40.7128584060622,-73.9936634036461
"126","Lower East Side","Manhattan",40.716956216473,-73.9838370361887
"127","East Village","Manhattan",40.7259600822759,-73.9820906973837
"128","Chelsea-Hudson Yards","Manhattan",40.7493826565518,-74.001149229864
"129","Hell's Kitchen","Manhattan",40.7641687886625,-73.9923999200423
"130","Midtown South-Flatiron-Union Square","Manhattan",40.7440415978371,-73.9897515468706
"131","Midtown-Times Square","Manhattan",40.7578010704439,-73.9816095103917
"132","Stuyvesant Town-Peter Cooper Village","Manhattan",40.7318140393425,-73.9765819192108
"133","Gramercy","Manhattan",40.7368244955513,-73.9840536156153
"134","Murray Hill-Kips Bay","Manhattan",40.7442493534397,-73.9759478336392
"135","East Midtown-Turtle Bay","Manhattan",40.7561333497458,-73.968503490545
"136","United Nations","Manhattan",40.7503456833201,-73.9673188282006
"137","Upper West Side-Lincoln Square","Manhattan",40.774847564824,-73.9846945357128
"138","Upper West Side (Central)","Manhattan",40.7877030804216,-73.9759342536763
"139","Upper West Side-Manhattan Valley","Manhattan",40.7992466529237,-73.9673061883371
"140","Upper East Side-Lenox Hill-Roosevelt Island","Manhattan",40.7649663715652,-73.9550870115797
"141","Upper East Side-Carnegie Hill","Manhattan",40.7747292659036,-73.9611750741145
"142","Upper East Side-Yorkville","Manhattan",40.7773235101283,-73.9486838218404
"143","Morningside Heights","Manhattan",40.8094583940277,-73.9617644673712
"144","Manhattanville-West Harlem","Manhattan",40.8180226256325,-73.9538222835653
"145","Hamilton Heights-Sugar Hill","Manhattan",40.827019873808,-73.9484650878092
"146","Harlem (South)","Manhattan",40.8043317756025,-73.9513004425372
"147","Harlem (North)","Manhattan",40.8189268074189,-73.9409081877251
"148","East Harlem (South)","Manhattan",40.7900098044104,-73.9457504088247
"149","East Harlem (North)","Manhattan",40.8016121391061,-73.9374377574189
"150","Randall's Island","Manhattan",40.7910010632849,-73.9245971902513
"151","Washington Heights (South)","Manhattan",40.8409027541739,-73.9415361105145
"152","Washington Heights (North)","Manhattan",40.8564728122821,-73.9334518272607
"153","Inwood","Manhattan",40.8660465401551,-73.919324450452
"154","Highbridge Park","Manhattan",40.8465973069056,-73.9302330109481
"155","Inwood Hill Park","Manhattan",40.8723779629816,-73.9243426550333
"156","Central Park","Manhattan",40.7824722048496,-73.9655604067454
"157","Astoria (North)-Ditmars-Steinway","Queens",40.7774084152225,-73.9052566300188
"158","Old Astoria-Hallets Point","Queens",40.7720880529847,-73.9314191005042
"159","Astoria (Central)","Queens",40.7642838547686,-73.9230570758123
"160","Astoria (East)-Woodside (North)","Queens",40.7595579592925,-73.9103125639918
"161","Queensbridge-Ravenswood-Dutch Kills","Queens",40.758318452994,-73.9379323662248
"162","Rikers Island","Bronx",40.7911303304426,-73.8826548873538
"163","Sunnyside Yards (North)","Queens",40.7519141994108,-73.9199839371725
"164","St. Michael's Cemetery","Queens",40.7639878088018,-73.8993993585041
"165","Astoria Park","Queens",40.7785588083817,-73.9230797526304
"166","Long Island City-Hunters Point","Queens",40.7453794812992,-73.9489086847405
"167","Sunnyside","Queens",40.738417594931,-73.9264448674649
"168","Woodside","Queens",40.7431042071231,-73.9014097871274
"169","Sunnyside Yards (South)","Queens",40.7486656609992,-73.9281825018401
"170","Calvary & Mount Zion Cemeteries","Queens",40.7342956521227,-73.9113750420972
"171","Jackson Heights","Queens",40.7555185751838,-73.886344113209
"172","East Elmhurst","Queens",40.7640750961607,-73.8722027095729
"173","North Corona","Queens",40.7540526440209,-73.8628518619176
"174","Elmhurst","Queens",40.739399345726,-73.879111346499
"175","Corona","Queens",40.7432407987523,-73.859284160578
"176","Maspeth","Queens",40.7230618011358,-73.9051219510859
"177","Ridgewood","Queens",40.7056729022039,-73.9036885969796
"178","Glendale","Queens",40.7035375561113,-73.8757460385316
"179","Middle Village","Queens",40.7192218329555,-73.8781270458189
"180","Mount Olivet & All Faiths Cemeteries","Queens",40.7172411829896,-73.8939805996841
"181","Middle Village Cemetery","Queens",40.7093241590168,-73.8834176635416
"182","St. John Cemetery","Queens",40.7147540885363,-73.8666264028169
"183","Highland Park-Cypress Hills Cemeteries (North)","Queens",40.6930944285616,-73.8854999099607
"184","Rego Park","Queens",40.7262360703676,-73.8634196186154
"185","Forest Hills","Queens",40.7214540032784,-73.8476773688687
"186","College Point","Queens",40.7825995003772,-73.8398894296902
"187","Whitestone-Beechhurst","Queens",40.7883790443315,-73.8108894180176
"188","Bay Terrace-Clearview","Queens",40.7818611072022,-73.7875789622974
"189","Murray Hill-Broadway Flushing","Queens",40.7688710278752,-73.8107687640273
"190","East Flushing","Queens",40.7538032869375,-73.8080655009515
"191","Queensboro Hill","Queens",40.743101181425,-73.8196834889369
"192","Flushing-Willets Point","Queens",40.7602128573166,-73.8315835129146
"193","Fort Totten","Queens",40.7916069097199,-73.7767125463415
"194","Kissena Park","Queens",40.7453186162352,-73.804879823479
"195","Kew Gardens Hills","Queens",40.7266445561501,-73.819792502223
"196","Pomonok-Electchester-Hillcrest","Queens",40.727066978847,-73.8034212777519
"197","Fresh Meadows-Utopia","Queens",40.7349257629273,-73.7862446184855
"198","Jamaica Estates-Holliswood","Queens",40.7207321665181,-73.7776104802102
"199","Jamaica Hills-Briarwood","Queens",40.7118866612498,-73.808855473678
"200","Mount Hebron & Cedar Grove Cemeteries","Queens",40.7364053324092,-73.83135919865
"201","Cunningham Park","Queens",40.7339443356381,-73.7688109156134
"202","Kew Gardens","Queens",40.7080335533948,-73.8287557909498
"203","Richmond Hill","Queens",40.6974768086754,-73.8327680498522
"204","South Richmond Hill","Queens",40.6913286920682,-73.8248672939829
"205","Ozone Park (North)","Queens",40.6845631393059,-73.8493676149795
"206","Woodhaven","Queens",40.6914753347996,-73.8574122984964
"207","South Ozone Park","Queens",40.6761987865897,-73.81951941674
"208","Ozone Park","Queens",40.6755706167305,-73.8470138202695
"209","Howard Beach-Lindenwood","Queens",40.6600362305613,-73.8440419752467
"210","Spring Creek Park","Queens",40.6498242368985,-73.8486948439903
"211","Auburndale","Queens",40.7552556964632,-73.7860044109897
"212","Bayside","Queens",40.7617609632819,-73.7675965970179
"213","Douglaston-Little Neck","Queens",40.7636883617432,-73.7368864927471
"214","Oakland Gardens-Hollis Hills","Queens",40.7393055728599,-73.7545779777739
"215","Alley Pond Park","Queens",40.7522154271948,-73.7455541824573
"216","Jamaica","Queens",40.7040216502312,-73.7955824419616
"217","South Jamaica","Queens",40.6943062745655,-73.7917316525485
"218","Baisley Park","Queens",40.679532972367,-73.7899095687877
"219","Springfield Gardens (North)-Rochdale Village","Queens",40.6733306290253,-73.7720529113574
"220","St. Albans","Queens",40.693238415116,-73.7622212186597
