"Borough","NTAName","SiteName","SiteAddr","Hosted_By","Open_Month","Day_Hours","Notes","Website","BoroCD","CouncilDis","ct2010","BBL","BIN","Latitude","Longitude","PolicePrec","Object.ID","Location.Point","App.Android","App.iOS","X.Assembly.District","X.Congress.District","DSNY.District","X.DSNY.Section","DSNY.Zone","Senate.District"
"Manhattan","Harlem (North)","134th Street Farm","118 W 134th St","Harlem Grown","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","","www.harlemgrown.org/volunteer",110,9,1022600,NA,NA,40.81380167,-73.94286914,32,60696,"POINT (-73.94286914 40.81380167)","","",70,13,"MN10","MN103","MN",30
"Bronx","Bedford Park","Meg?s Community Garden at The James Baldwin Outdoor Learning Center Farmer?s Mark","100 W Mosholu Pkwy S, The Bronx, NY 10468","Volunteers at James Baldwin Outdoor Learning Center","Spring - Fall","Saturday (Start Time: 10:00 AM - End Time:  3:00 PM)","Site entrance is on the Goulden Ave side of campus","https://www.jamesbaldwinoutdoorlearningcenter.org/",207,11,2040900,NA,NA,40.88207,-73.88825,52,60797,"POINT (-73.88825 40.88207)","","",81,13,"BX07","BX072","BX",33
"Manhattan","Morningside Heights","Columbia Sunday Greenmarket","Broadway between 114th St. and 115th St.","GrowNYC","Year Round","Sunday (Start Time: 8:00 AM - End Time:  12:00 PM)","","grownyc.org/compost",109,7,1020300,NA,NA,40.807138,-73.96437,26,60496,"POINT (-73.96437 40.807138)","","",69,13,"MN09","MN091","MN",30
"Manhattan","SoHo-Little Italy-Hudson Square","*LAST DAY DECEMBER 6* 6th Ave & Spring St","6th Avenue & Spring Street -NE Corner","NYC Compost Project Hosted by LES Ecology Center","Year Round","Wednesday (Start Time: 9:00 AM - End Time:  2:00 PM)","","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/",102,1,1004900,NA,NA,40.7256282,-74.003866,1,60559,"POINT (-74.003866 40.7256282)","","",66,10,"MN02","MN021","MN",27
"Bronx","Morris Park","Albert Einstein College of Medicine (AECOM) Garden Club","Near 1975 Eastchester Road","Volunteers at Einstein Community Garden","Year Round","Wednesday (Start Time: 4:00 PM - End Time:  5:00 PM)","","",211,13,2029600,2042050002,2102976,40.85322611,-73.8434618,49,60844,"POINT (-73.8434618 40.85322611)","","",80,14,"BX11","BX112","BX",34
"Brooklyn","East Flatbush-Erasmus","Rogers / Tilden / Veronica Place Garden","2601 - 2603 Tilden Avenue, Brooklyn 11226","Rogers / Tilden / Veronica Place Garden","Year Round","Saturday (Start Time: 10:00 AM - End Time:  12:00 PM)","","",317,40,3079400,NA,NA,40.6472062,-73.9526235,67,60876,"POINT (-73.9526235 40.6472062)","","",42,9,"BKN17","BKN174","BKN",21
"Brooklyn","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","Carroll Gardens Greenmarket","Smith St and 1st Pl","GrowNYC","Year Round","Sunday (Start Time: 8:00 AM - End Time:  12:00 PM)","","grownyc.org/compost",306,39,3007700,NA,NA,40.679954,-73.99517,76,60823,"POINT (-73.99517 40.679954)","","",52,10,"BKS06","BKS062","BKS",26
"Bronx","Longwood","Kelly Street Garden","924 Kelly St, The Bronx, NY 10459","Volunteers at Kelly Street Garden","Year Round","Saturday (Start Time: 10:00 AM - End Time:  2:00 PM)","","https://www.facebook.com/kellyst.garden/",202,17,2008700,NA,NA,40.820124,-73.895674,41,60829,"POINT (-73.895674 40.820124)","","",85,14,"BX02","BX021","BX",32
"Brooklyn","Carroll Gardens-Cobble Hill-Gowanus-Red Hook","Big Reuse Warehouse","1 12th St, Brooklyn NY 11215","NYC Compost Project Hosted by Big Reuse","Year Round","Every Day (Start Time: 10:00 AM - End Time:  6:00 PM)","","https://www.bigreuse.org/service/compost/",306,38,3011902,NA,NA,40.672077,-73.996401,78,60449,"POINT (-73.996401 40.672077)","","",52,10,"BKS06","BKS065","BKS",26
"Bronx","Kingsbridge-Marble Hill","Spuyten Duyvil PreSchool","3041 Kingsbridge Avenue","Spuyten Duyvil PreSchool","September - June","Friday (Start Time: 8:00 AM - End Time:  12:00 PM)","Remove all plastic, stickers and zip ties before dropping off food scraps","www.spuytenduyvilpreschool.org",208,11,2028900,NA,NA,40.879247,-73.90727,50,60801,"POINT (-73.90727 40.879247)","","",81,13,"BX08","BX082","BX",31
"Bronx","West Farms","Drew Gardens","1070 East Tremont Avenue. between Bronx Street and, Boston Rd, The Bronx, NY 10460","Volunteers at Drew Gardens","Year Round","Monday, Wednesday, Friday (Start Time: 4:00 PM - End Time:  7:00 PM)","","https://www.facebook.com/drewgardens.educationalrecreational",206,15,2006000,NA,NA,40.839897,-73.879181,48,60780,"POINT (-73.879181 40.839897)","","",87,14,"BX06","BX062","BX",32
"Manhattan","Financial District-Battery Park City","Battery Park City West Thames Park","Liberty Court, 200 Rector Pl, New York, NY 10280","Battery Park City Authority","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","","https://bpca.ny.gov/nature-and-sustainability/sustainability/",101,1,1031704,NA,NA,40.708464,-74.016164,1,60554,"POINT (-74.016164 40.708464)","","",61,10,"MN01","MN011","MN",27
"Bronx","University Heights (South)-Morris Heights","Francis Martin Library","2150 University Avenue Bronx, NY 10453","","Year Round","Wednesday (Start Time: 12:00 PM - End Time:  1:00 PM)","","https://www.nypl.org/locations/francis-martin",205,14,2025100,NA,NA,40.8575626,-73.909437,46,60769,"POINT (-73.909437 40.8575626)","","",86,13,"BX05","BX051","BX",33
"Brooklyn","Bushwick (East)","Moffat Street Community Garden","9 Moffat St, Brooklyn, NY 11207","Moffat St Community Garden","Year Round","Saturday (Start Time: 10:30 AM - End Time:  12:30 PM)","","",304,37,3040300,NA,NA,40.6843646,-73.9107326,83,60422,"POINT (-73.9107326 40.6843646)","","",54,7,"BKN04","BKN043","BKN",18
"Brooklyn","Windsor Terrace-South Slope","East 4th Street Community Garden","173 E 4th St, Brooklyn, NY 11218","Members at East 4th Street Community Garden","April - October","Wednesday and Saturday (Start Time: Wednesday 4:30 PM, Saturday 9:00 AM, Sunday 10:00 AM - End Time:  Wednesday 6:30 PM, Saturday 1:00 PM, Sunday 12:00 PM)","No meat, bones, or dairy.","https://eastfourthstreetgarden.tumblr.com/",307,39,3050001,NA,NA,40.6483066,-73.9772287,72,60808,"POINT (-73.9772287 40.6483066)","","",44,10,"BKS07","BKS071","BKS",20
"Brooklyn","Bushwick (West)","EL Garden","120 Jefferson St, Brooklyn, NY 11206","EL Garden","Year Round","24/7 (Start Time: 24/7 - End Time:  24/7)","","https://www.facebook.com/elgardenbushwickpage/",304,34,3042500,NA,NA,40.69955,-73.93066,83,60400,"POINT (-73.93066 40.69955)","","",53,7,"BKN04","BKN041","BKN",18
